epoch,total time,train loss,lr,val loss
0,0,1293.6419882019686,9.999999999999159e-07,1283.9659647337148
1,0,1284.3271463684107,1.000010457279923e-06,1258.5870179368856
2,0,1258.2740882554526,1.0000418291197279e-06,1246.4340867593255
3,0,1246.0118085317847,1.000094115518246e-06,1229.3340073467607
4,0,1232.2918818698538,1.0001673164728754e-06,1221.5867065286413
5,0,1229.5444420132146,1.0002614319805803e-06,1216.4887497354189
6,0,1229.1361532505716,1.0003764620376745e-06,1209.6908235505152
7,0,1225.507309681459,1.0005124066391705e-06,1209.182143042718
8,0,1223.272781294554,1.0006692657794306e-06,1207.4507358891303
9,0,1222.590176277116,1.0008470394517327e-06,1207.6467806677304
10,0,1222.04088030536,1.001045727648921e-06,1210.9705880751633
11,0,1221.6582999846207,1.0012653303625389e-06,1212.7737325510136
12,0,1225.6332310940802,1.0015058475834789e-06,1208.0385869702263
13,0,1214.812385633617,1.0017672793013327e-06,1204.7803506627329
14,0,1218.2734989406263,1.0020496255054752e-06,1209.26598280547
15,0,1218.9148630944953,1.0023528861839801e-06,1201.994039807148
16,0,1216.512159865552,1.0026770613242707e-06,1207.5470579621938
17,0,1217.6025035600264,1.0030221509124693e-06,1209.52700979982
18,0,1214.4821319162681,1.003388154934698e-06,1204.3554459215143
19,0,1214.7066134549343,1.0037750733749105e-06,1209.0434710722013
20,0,1214.7618313156192,1.0041829062174944e-06,1207.3920247968933
21,0,1217.9734147650602,1.0046116534451026e-06,1205.7059479714933
22,0,1215.969989605181,1.0050613150397372e-06,1203.529831052013
23,0,1217.6604972621712,1.0055318909827499e-06,1194.7875576347626
24,0,1217.405968484584,1.0060233812541914e-06,1201.8606222090027
25,0,1213.0332891919643,1.0065357858336788e-06,1207.3005303515702
26,0,1214.6706200406252,1.0070691046997447e-06,1203.6709630545315
27,0,1211.5198489714992,1.0076233378300548e-06,1201.596719374679
28,0,1213.0266264080303,1.008198485201407e-06,1206.0392721591047
29,0,1215.1550183968882,1.008794546789515e-06,1203.113547980319
