epoch,total time,train loss,lr,val loss
0,0,0.3208425585153643,9.999999999999159e-07,0.19318700982311557
1,0,0.1446296272296754,1.0000356517399396e-06,0.12358596701325708
2,0,0.12408078982781022,1.0001426069545898e-06,0.11700116963572585
3,0,0.12031081927910683,1.0003208656289043e-06,0.1140348814815455
4,0,0.11792903602080256,1.0005704277372962e-06,0.11189827417707168
5,0,0.116080579368067,1.0008912932442035e-06,0.1103118370163303
6,0,0.1146640120850927,1.001283462103656e-06,0.10926171527863238
7,0,0.11362702146839097,1.001746934259926e-06,0.10822747729589484
8,0,0.11267625016911549,1.002281709646443e-06,0.1073902495463804
9,0,0.11183816468152305,1.00288778818753e-06,0.1065843671861756
10,0,0.11117306333922204,1.0035651697960172e-06,0.10604106992310872
11,0,0.11046210371635178,1.0043138543756273e-06,0.10582463985922709
12,0,0.10990437403493285,1.0051338418190243e-06,0.10533700500092755
13,0,0.10952850005993939,1.006025132009765e-06,0.10491700476907581
14,0,0.10902039664239767,1.0069877248201301e-06,0.10461294905126439
15,0,0.10876684646628808,1.0080216201130768e-06,0.10469538699081868
16,0,0.10818898707391723,1.0091268177407197e-06,0.10390392031972807
17,0,0.10798561056971034,1.010303317545416e-06,0.10364036709931544
18,0,0.10760443733970153,1.0115511193593309e-06,0.10350207133875416
19,0,0.10736649223263302,1.0128702230042218e-06,0.10333980505779988
20,0,0.10685219465181081,1.0142606282916543e-06,0.10281449931033085
21,0,0.10638737092587511,1.0157223350232194e-06,0.10253094866699566
22,0,0.10604580997625127,1.0172553429903166e-06,0.10226024493488962
23,0,0.10565581482339215,1.0188596519743708e-06,0.1019372954706236
24,0,0.10528837599688107,1.0205352617457478e-06,0.1018672156971314
25,0,0.10489146928551565,1.0222821720659234e-06,0.10140750630398017
26,0,0.10468274045837735,1.0241003826850972e-06,0.10134764930847064
27,0,0.10438756601721005,1.025989893343928e-06,0.10117672801534565
28,0,0.10426300517881415,1.0279507037724497e-06,0.10077820229478654
29,0,0.10379971720246009,1.029982813690938e-06,0.10054650239517234
