epoch,total time,train loss,lr,val loss
0,0,1619171.834159851,0.0001,1370092.3030395508
1,0,1454990.4541168213,0.0001,1249852.7747802734
2,0,1372144.7662658691,0.0001,1202146.5866088867
3,0,1337028.6207427979,0.0001,1183782.047302246
4,0,1323288.9985351562,0.0001,1178275.449584961
5,0,1310025.1688232422,0.0001,1155050.915588379
6,0,1301973.8567504883,0.0001,1168777.3014526367
7,0,1291239.5008087158,0.0001,1141799.405822754
8,0,1283638.1041564941,0.0001,1152431.3639526367
9,0,1275038.9397277832,0.0001,1144546.8923339844
10,0,1271057.5923614502,0.0001,1143090.4915771484
11,0,1267212.3311767578,0.0001,1137726.8848876953
12,0,1260295.4812164307,0.0001,1130308.8322143555
13,0,1260097.2900848389,0.0001,1124890.741027832
14,0,1252679.5889129639,0.0001,1142099.7912597656
15,0,1249542.9875183105,0.0001,1132051.064819336
16,0,1245430.7967529297,0.0001,1136101.8763427734
17,0,1247381.1174621582,0.0001,1122713.446472168
18,0,1243465.736907959,0.0001,1174857.9219360352
19,0,1242092.7811279297,0.0001,1130758.6029663086
20,0,1239049.1348724365,0.0001,1120426.2587280273
21,0,1239554.5590667725,0.0001,1121623.9005737305
22,0,1236097.3492126465,0.0001,1131328.1275024414
23,0,1237346.1515960693,0.0001,1116700.9869995117
24,0,1235989.9330749512,0.0001,1167571.0033569336
25,0,1231403.904510498,0.0001,1141395.6591796875
26,0,1228037.4599609375,0.0001,1118819.8510742188
27,0,1229867.1377868652,0.0001,1130280.8331298828
28,0,1231155.6855010986,0.0001,1114925.2915039062
29,0,1223692.435043335,0.0001,1144522.5807495117
30,0,1226211.971282959,0.0001,1121009.6121826172
31,0,1221096.6973876953,0.0001,1147341.3549804688
32,0,1219003.2508239746,0.0001,1124767.4899291992
33,0,1223049.745513916,0.0001,1121080.8767089844
34,0,1214521.1287841797,0.0001,1116002.572631836
35,0,1217647.4073181152,0.0001,1186997.0948486328
36,0,1214860.4797363281,0.0001,1130554.4056396484
37,0,1214834.15234375,0.0001,1181640.7879333496
38,0,1206002.2134857178,1e-05,1131229.4399414062
39,0,1190462.2259979248,1e-05,1137946.3641357422
40,0,1185893.6371612549,1e-05,1151130.7565307617
41,0,1184117.4677886963,1e-05,1144893.2724609375
42,0,1188044.3392333984,1e-05,1142995.474243164
43,0,1185010.851135254,1e-05,1137461.7209472656
44,0,1181909.2338562012,1e-05,1132635.5786132812
45,0,1179456.7511291504,1e-05,1134410.2157592773
46,0,1182003.3973999023,1e-05,1118750.884765625
47,0,1184085.6848449707,1e-05,1129177.9111328125
48,0,1179372.1305541992,1e-05,1133781.3197631836
49,0,1176234.2174224854,1e-05,1126006.0560302734
