epoch,total time,train loss,lr,val loss
0,0,1658954.365929878,0.0001,1567282.3316208657
1,0,1612827.834828506,0.0001,1532254.7688472762
2,0,1559865.4868902438,0.0001,1461383.1361867704
3,0,1496367.2746036586,0.0001,1459357.4833110408
4,0,1400391.7671951219,0.0001,1429666.7728295233
5,0,1301550.1628353659,0.0001,1321378.251641537
6,0,1208207.3392911586,0.0001,1319716.487658074
7,0,1123548.6532621952,0.0001,1324023.1267764317
8,0,1056281.4916006099,0.0001,1320878.988205253
9,0,989377.9838871951,0.0001,1269165.6128708657
10,0,934535.1992073171,0.0001,1231362.543439932
11,0,904050.6216463415,0.0001,1288346.161174611
12,0,866587.5512957317,0.0001,1244958.637159533
13,0,840118.6937195122,0.0001,1278824.1463399807
14,0,822757.4966920732,0.0001,1207039.547262585
15,0,810769.7175152439,0.0001,1221832.1549124513
16,0,801825.7228201219,0.0001,1212796.5079036965
17,0,791566.9748323171,0.0001,1207694.700495501
18,0,785844.1822865853,0.0001,1224836.7832563228
19,0,777104.6850304878,0.0001,1201448.0691877431
