epoch,total time,train loss,lr,val loss
0,0,1312446.6785955955,0.0001,1185848.0745570867
1,0,1235671.4967781126,0.0001,1087117.5310654528
2,0,1209724.0427842028,0.0001,1077516.3926550196
3,0,1161989.7165123646,0.0001,1124871.967273622
4,0,1096993.1601101132,0.0001,1110973.243848425
5,0,964622.921875,0.0001,1152653.449987697
6,0,809186.2553441806,0.0001,1154771.5476747048
7,0,582205.4277574434,0.0001,1198411.3471948819
8,0,480469.0500046137,0.0001,1234062.215797244
9,0,373134.65867987205,0.0001,1168133.4443897638
