epoch,total time,train loss,lr,val loss
0,0,1657842.6701202393,0.0001,1626784.5994262695
1,0,1616415.818244934,0.0001,1590776.4377441406
2,0,1568602.434020996,0.0001,1536237.7036132812
3,0,1517084.7100982666,0.0001,1486102.195678711
4,0,1465724.6015701294,0.0001,1432649.0838928223
5,0,1414220.1271820068,0.0001,1386579.6237792969
6,0,1363914.82321167,0.0001,1346243.9957885742
7,0,1324216.0124053955,0.0001,1328347.5010986328
8,0,1286658.7495880127,0.0001,1294967.5923461914
9,0,1258243.3377990723,0.0001,1275366.2787475586
10,0,1239084.545211792,0.0001,1258364.9038085938
11,0,1222589.047821045,0.0001,1250437.3892211914
12,0,1205073.5772705078,0.0001,1242996.5917358398
13,0,1195570.5145568848,0.0001,1243508.850036621
14,0,1184106.2923431396,0.0001,1234133.2741699219
15,0,1170916.7959594727,0.0001,1237422.6939697266
16,0,1164130.3814697266,0.0001,1228587.080078125
17,0,1161670.694946289,0.0001,1226153.5559082031
18,0,1155120.768814087,0.0001,1231012.3024291992
19,0,1147595.3893585205,0.0001,1229090.273803711
20,0,1142975.132232666,0.0001,1222805.7030639648
21,0,1142522.9839630127,0.0001,1227200.3481445312
22,0,1132072.6171569824,0.0001,1234657.2149047852
23,0,1133211.5367279053,0.0001,1222234.514099121
24,0,1128499.404296875,0.0001,1232010.7081298828
