epoch,total time,train loss,lr,val loss
0,0,1635197.550945122,0.0001,1699442.9924002918
1,0,1589713.3313338414,0.0001,1644193.3290977627
2,0,1532875.4314481707,0.0001,1621791.9551921205
3,0,1448241.4919969512,0.0001,1551653.4115697958
4,0,1347029.2782621952,0.0001,1500378.0539275291
5,0,1257339.0441920732,0.0001,1525259.2332198443
6,0,1170529.1914253049,0.0001,1499076.7948686772
7,0,1093532.2407926829,0.0001,1497432.5271765564
8,0,1019924.8617378048,0.0001,1454389.9347337063
9,0,962359.5173170732,0.0001,1406874.5751763133
10,0,910643.6080945123,0.0001,1365598.5207776022
11,0,871525.7379268293,0.0001,1419862.3807757783
12,0,840704.5664786586,0.0001,1407269.415726836
13,0,814846.0220731708,0.0001,1367990.821802043
14,0,800534.0088262195,0.0001,1351490.3644630045
15,0,789096.885320122,0.0001,1356089.0780034047
16,0,781559.5089939025,0.0001,1349909.4015837791
17,0,769255.2485670731,0.0001,1389077.9753769455
18,0,764701.8860823171,0.0001,1349341.1125972762
19,0,761740.5083231707,0.0001,1349796.1557446194
